,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate
93,55.2,3162.48,600.789,404.757,10.1203,1.74427,250.429,249.39,250.007,295.096,306.4,248.72,250.718,442.527,513.869,450.37,413.915,449.857,484.263,475.643,66.91
94,55.2,3148.44,597.168,404.473,10.1199,1.74392,250.001,247.939,251.587,295.096,306.4,245.215,249.565,454.543,514.864,456.136,419.376,429.496,467.314,472.86,66.91
95,55.2,3153.91,604.614,401.836,10.1196,1.74358,250.225,248.027,251.895,295.096,306.4,250.972,248.599,454.644,510.106,457.54,430.388,425.422,428.444,448.36,66.91
96,55.2,3177.73,601.318,398.027,10.1192,1.74324,250.488,251.367,251.411,295.096,306.4,256.289,251.323,446.335,506.026,452.578,456.48,440.518,423.854,418.566,66.91
97,55.2,3176.56,597.534,399.785,10.1189,1.74289,250.093,251.147,251.411,295.096,306.4,249.17,250.005,447.336,485.18,452.9,474.06,453.736,442.226,408.966,66.91
98,55.2,3155.08,594.727,396.914,10.1185,1.74255,249.961,253.389,250.269,295.096,306.4,249.565,249.521,446.836,255.22,454.84,480.7,467.282,469.218,421.1,66.91
99,55.2,3134.77,591.675,393.223,10.1181,1.7422,249.785,255.762,249.39,295.096,306.4,254.795,250.093,451.741,319.679,447.394,482.108,482.922,483.666,441.402,66.91
100,55.2,3125.78,590.698,404.297,10.1178,1.74186,250.137,252.861,249.126,295.096,306.4,253.389,250.225,451.44,384.138,450.2,466.796,477.528,481.874,476.714,66.91
101,55.2,3126.17,603.394,407.695,10.1174,1.74151,250.752,250.664,248.95,295.096,306.4,249.565,249.038,454.143,513.28,444.052,424.138,449.99,484.226,507.618,66.91
102,55.2,3129.3,602.661,391.523,10.1171,1.74117,250.664,250.356,248.95,295.096,306.4,246.357,251.104,454.644,528.798,440.058,399.376,422.232,497.106,519.426,66.91
103,55.2,3133.2,603.638,390.0,10.1167,1.74083,250.752,245.918,248.687,295.096,306.4,248.643,250.488,449.739,529.25,445.022,417.346,414.85,462.722,469.102,66.91
104,55.2,3141.8,605.225,391.406,10.1164,1.74048,250.796,250.796,248.906,295.096,306.4,253.828,249.653,446.135,522.112,450.632,453.672,423.992,423.74,409.732,66.91
105,55.2,3155.86,591.309,395.918,10.116,1.74014,250.313,254.399,251.411,295.096,306.4,250.752,251.191,448.538,513.844,451.282,473.592,438.972,421.496,376.516,66.91
106,55.2,3162.11,583.496,400.488,10.1157,1.73959,250.049,253.345,252.905,295.096,306.4,247.412,251.807,450.94,510.9,449.99,476.56,445.58,425.08,365.26,66.91
107,55.2,3164.45,584.961,393.809,10.1153,1.7389,250.181,249.521,252.905,295.096,306.4,245.698,250.093,449.739,504.78,452.576,481.012,455.498,445.918,385.786,66.91
108,55.2,3167.19,595.093,393.75,10.115,1.73821,250.269,244.995,251.719,295.096,306.4,251.279,249.741,442.031,270.966,448.474,483.98,476.318,488.706,430.592,66.91
109,55.2,3177.34,596.069,397.207,10.1146,1.73752,250.532,247.764,250.269,295.096,306.4,255.762,252.114,449.438,312.939,448.148,488.672,490.746,511.33,472.196,66.91
110,55.2,3184.77,584.595,400.02,10.1143,1.73683,250.576,248.115,249.302,295.096,306.4,248.115,250.313,456.846,354.912,454.084,462.97,485.788,510.882,498.016,66.91
111,55.2,3185.55,586.182,404.648,10.1139,1.73614,250.488,250.488,249.214,295.096,306.4,250.137,248.95,450.139,510.332,461.638,422.888,451.528,510.098,513.904,66.91
112,55.2,3182.03,595.947,407.168,10.1135,1.73545,250.62,252.334,249.39,295.096,306.4,256.465,251.499,440.53,518.6,465.414,405.704,433.686,513.794,512.252,66.91
